PlayerID,Score,GameName,Date,Notes
Alex E.,1.0,Pit,06/01/2024,
Alex E.,1.0,SUPERFIGHT,06/12/2024,
Nainoa,2.0,Pit,06/01/2024,Long Game
Ingrid,1.0,Pit,06/01/2024,won in 2 round with bull
Viv,1.0,Clue Conspiracy,05/25/2024,still undefeated - suspected of being conspiracy w/ Isabelle
Alex E.,1.0,Clue Conspiracy,05/25/2024,
Alex O.,1.0,Clue Conspiracy,05/25/2024,
Nainoa,1.0,Clue Conspiracy,05/25/2024,
Alex E.,4.0,Pit,06/15/2024,Alex extreme comback from -100 pts many oranges
Nainoa,1.0,Ticket to Ride,06/15/2024,Isabelle first game of ticket to ride
Nainoa,1.0,Ticket to Ride,06/15/2024,"Nainoa you pink stealing bitch (pink for 7pts, 2 games back to back)"
